state,x,y
Andhra Pradesh,-71,-203
Arunachal Pradesh,292,136
Assam,251,76
Bihar,81,64
Chhattisgarh,-7,-43
Goa,-196,-201
Gujarat,-270,-4
Haryana,-144,151
Himachal Pradesh,-124,226
Jharkhand,65,6
Karnataka,-159,-205
Kerala,-146,-325
Madhya Pradesh,-98,-3
Maharashtra,-163,-103
Manipur,269,34
Meghalaya,205,57
Mizoram,246,-1
Nagaland,289,72
Odisha,48,-68
Punjab,-166,200
Rajasthan,-211,92
Sikkim,143,114
Tamil Nadu,-93,-307
Telangana,-78,-139
Tripura,217,8
Uttar Pradesh,-47,106
Uttarakhand,-72,185
West Bengal,126,-7
